"","logFC","logCPM","LR","PValue","FDR"
"PITA_06805",-10.0269441719491,2.66332340825047,92.2779200349782,7.53199844896223e-22,1.95899747659059e-18
"PITA_00209",-10.4017819040573,3.02666432619977,89.7730229602929,2.67111783438714e-21,5.78942531288126e-18
"PITA_25299",-9.17209450059816,1.84682150119562,72.6433652695484,1.55328194325086e-17,2.12627947694797e-14
"PITA_13583",-9.53942124315527,2.19534381698294,67.9256555936599,1.69777675718343e-16,2.1027369370278e-13
"PITA_05817",-4.44824724400869,3.07212646751267,52.527361611107,4.2429557570159e-13,3.34409200861292e-10
"PITA_45678",-6.34041270937028,1.80603987055043,44.7061718962655,2.28934533901012e-11,1.4177043552932e-08
"PITA_41896",-3.77456480307025,2.85082424612424,36.7868609847388,1.31775358910697e-09,4.69499357521688e-07
"PITA_46254",-3.48244712447147,7.83117817333409,35.5811982536112,2.44637400760733e-09,8.4836988751812e-07
"PITA_29196",-3.99899912162358,3.27673379344636,35.1827749290719,3.00166819305132e-09,1.02724194780358e-06
"PITA_38610",-5.29968159216441,1.28756310176481,34.9265598612353,3.42378447102942e-09,1.15648325074031e-06
"PITA_17720",-4.20011388513969,4.79596671386209,34.7252677632221,3.7967156537584e-09,1.26600996716157e-06
"PITA_26356",-2.73686480445301,5.5663892614878,34.0478750974544,5.37725985116941e-09,1.74821439336332e-06
"PITA_24919",-2.68119647854558,6.13796790870749,31.4676755599255,2.02788168108536e-08,5.61097602588822e-06
"PITA_31850",-3.73222378720493,2.36857341959202,29.946119230349,4.44220078046561e-08,1.12172038931194e-05
"PITA_22123",-2.87404670286471,4.74668896641348,29.8540001570061,4.65834778305554e-08,1.15389492847135e-05
"PITA_23069",-2.00638061388755,6.36346114761061,28.6364720455708,8.73218923503014e-08,2.02781705190981e-05
"PITA_07907",-4.13900993956727,1.34539844765271,28.0413291043892,1.18751999038552e-07,2.68575716782061e-05
"PITA_00986",-2.68874316501065,4.19037874583701,27.9182164555063,1.26552705166114e-07,2.78941466836057e-05
"PITA_22854",-3.18553680666871,2.45601250231931,27.5002736683224,1.57072278232759e-07,3.26823430764466e-05
"PITA_30250",-3.57100721280577,4.64079130247289,25.2875103383648,4.93896507151e-07,8.98020638405875e-05
"PITA_17377",-2.66857422999586,2.81129934185802,25.2746787122632,4.97193171327025e-07,8.98020638405875e-05
"PITA_42005",-4.29226633876421,1.19630709663175,22.825678800973,1.77379800028286e-06,0.000274611382079506
"PITA_31225",-1.67136543408206,5.85784127798521,22.5979775398288,1.99694711836278e-06,0.000300223107523108
"PITA_18469",-2.85692726920524,2.28113093164126,22.5068213583823,2.09398686210079e-06,0.000309446047138519
"PITA_09977",-3.44488617208204,3.13569992649052,22.4085377954957,2.20392116039229e-06,0.00032385189525787
"PITA_03793",-3.49225966135184,4.37608633839061,22.1107139564603,2.57369306570381e-06,0.000365787884950221
"PITA_16460",-2.58101517096985,2.56475909533181,22.0607632991529,2.64154316393884e-06,0.000373390739950463
"PITA_42919",-4.67338820909427,2.69095276726146,21.9439100721037,2.80736336435618e-06,0.000393933234324178
"PITA_20015",-1.89149948128394,3.89911726001201,20.6658845861169,5.46816445926488e-06,0.000693763363029368
"PITA_18634",-2.56836671415983,4.59379167757438,20.1883953015581,7.01773763050492e-06,0.000853342663012703
"PITA_30618",-1.87091485546451,4.35946756013125,20.178524054013,7.05404562065943e-06,0.000853342663012703
"PITA_43294",-2.71824553611989,2.56151086959387,20.0153998469165,7.68209917844926e-06,0.00090819871605585
"PITA_35860",-4.07659636420027,1.1233197134623,18.743221210655,1.49554030062311e-05,0.00166228665294472
"PITA_39780",-1.46178018669096,4.69018275520017,18.3260619719955,1.86143177695671e-05,0.00198417947077324
"PITA_34546",-2.4897955691018,4.0810886113319,17.8971118603714,2.33174696868676e-05,0.00241619151030175
"PITA_15007",-1.84276795179252,5.02494423019505,17.0868999792088,3.57077602968762e-05,0.00343971532430168
"PITA_46721",-3.59747199766372,4.68755370021162,17.0083280940322,3.72162230011914e-05,0.00354562909904024
"PITA_41416",-1.82690190925797,4.91127834048392,16.8926289833854,3.95548867888338e-05,0.00375468266602473
"PITA_45005",-2.37967115766756,2.77384577669766,16.5855503359315,4.65039883352152e-05,0.00429645404901562
"PITA_44539",-1.72442142570829,4.20882780506729,16.5822952039683,4.65838764205623e-05,0.00429645404901562
"PITA_11028",-3.3399330786204,2.30486510011161,16.3445339050439,5.28082525100577e-05,0.00476906194282671
"PITA_10183",-2.16075697517952,5.61400740462755,16.3287261534753,5.32505821839365e-05,0.0047832162005728
"PITA_40902",-2.03917571502785,4.96338484291117,16.32580258519,5.33327962692188e-05,0.0047832162005728
"PITA_09818",-2.80371862553725,1.84526436962873,16.2099915651634,5.66943038833536e-05,0.00501551751599368
"PITA_28273",-3.26072979138941,0.669110686028923,15.9666735286652,6.44674354422069e-05,0.00549748697841429
"PITA_08560",-3.19729321370594,0.746517842053846,15.9303680304533,6.57158296897806e-05,0.00556743652899513
"PITA_28306",-3.17506152142304,1.67026043103594,15.7999736653741,7.0403488182749e-05,0.00587100746643526
"PITA_15295",-2.38657167783619,4.6294414286533,15.7329635209405,7.29418959382996e-05,0.00606116859891129
"PITA_05153",-3.22573968536775,0.676013867911437,15.4599531058765,8.42719743629161e-05,0.00680692478635119
"PITA_23781",-2.54342038681154,2.31480720267769,15.4226539933755,8.59516959725198e-05,0.00692110730820207
"PITA_02678",-1.33366270191855,5.94591860392293,15.335249218842,9.00210403123978e-05,0.00720417611533894
"PITA_02431",-3.77518183842397,3.16643541090524,15.3112504962675,9.11719050921348e-05,0.00727389594951329
"PITA_24359",-2.26609843983588,2.60110835595148,15.2793243045685,9.27259164067807e-05,0.00737525492300905
"PITA_51133",-1.33569953330817,5.99777341561274,15.2235778576452,9.55035645814801e-05,0.00755000672097178
"PITA_31682",-2.12832170115216,2.6008330450997,15.1080028264561,0.000101531952837979,0.00795404988362352
"PITA_06351",-2.47506932264773,2.21574766293342,15.0306466142272,0.00010577939135823,0.0082072567133579
"PITA_09974",-2.93187290983252,2.06866775648254,15.0302822876576,0.000105799813008058,0.0082072567133579
"PITA_48808",-1.58792607283787,6.84301781499363,14.9234407287436,0.000111963136266425,0.00850283172233217
"PITA_26684",-1.69268281776003,3.32606582567394,14.9002412909024,0.000113348486417343,0.00853142005758169
"PITA_01744",-2.70190850531263,1.33740491628162,14.7900829005168,0.000120165783549783,0.00887895416007473
"PITA_15927",-2.74938670342555,2.58862676031785,14.4758783047701,0.000141965891385768,0.0101718756723208
"PITA_42387",-3.67497260108883,0.611826538412406,14.4432534534128,0.000144446348339248,0.0102928906135767
"PITA_07279",-1.66038538260655,6.87239672447962,14.4217332525851,0.000146106363317077,0.010382733342934
"PITA_12586",-1.90223998635255,3.46913017729442,14.2860628795455,0.000157023201522651,0.0110081305886863
"PITA_43713",-1.31016799368909,9.42034858305503,14.2335333212768,0.000161467423372192,0.0112308351308269
"PITA_40008",-1.59629374177601,5.41442103411349,14.2281828257969,0.000161927147297477,0.0112308351308269
"PITA_41676",-1.31047148506426,6.02493425599196,14.2150479650345,0.000163061315405914,0.0112794195542351
"PITA_25765",-4.37063223118639,3.85779676840024,14.005604192966,0.000182266573987067,0.0123579282757095
"PITA_13681",-2.23612702449756,2.32482500169176,14.0031536886318,0.000182504269726428,0.0123579282757095
"PITA_40300",-1.51114125151258,3.98197959476651,13.840612100587,0.000198988385235175,0.0133388889473754
"PITA_37303",-1.21463263006906,5.48463521112964,13.8213930698606,0.000201034135440958,0.0133726261603168
"PITA_38496",-1.68904076398624,5.20717200438302,13.7920937342084,0.000204193723639592,0.0135481493830157
"PITA_20669",-1.57943983561195,6.43985231285356,13.6579732049381,0.000219308091782367,0.0142090170002175
"PITA_25644",-1.46490859378039,4.75916045916048,13.6441320031207,0.000220930698969822,0.0142090170002175
"PITA_14158",-2.83350077047246,1.33886511057979,13.641367946759,0.000221256176134725,0.0142090170002175
"PITA_50012",-1.25880447764137,4.93146884532205,13.6067578210113,0.000225372775090617,0.0144377352397337
"PITA_09085",-2.50347943367363,3.5034059645714,13.486570275759,0.000240276975786293,0.0151683588913245
"PITA_43642",-1.63342024009752,8.47062026295217,13.3950131849037,0.000252294167199673,0.0158118529992682
"PITA_07465",-3.33252940806052,0.265333857645909,13.3872236365177,0.000253344120115486,0.0158394885098165
"PITA_37074",-2.06243767910577,2.71010835994016,13.1620058958439,0.000285682900939882,0.0175243551192108
"PITA_50170",-2.95398544255141,0.133922574301457,13.0442100515949,0.00030422344950705,0.0184441671287386
"PITA_49449",-1.58146365977012,3.93127699624574,12.9935275808192,0.000312569545715273,0.0189060960802524
"PITA_38033",-1.4093016907607,4.17984947037607,12.8949366921847,0.000329472240885937,0.0197461862332659
"PITA_42555",-1.76149257315292,2.9068687299527,12.8209057126139,0.000342767756000337,0.0202614694677563
"PITA_39951",-1.92722457792766,3.15925559512896,12.7714399150267,0.00035195180970188,0.020757176005751
"PITA_49619",-3.47945215986335,1.86662845359436,12.6818539211822,0.00036922130334909,0.0214833934648914
"PITA_50767",-1.70481673137071,4.23762456628992,12.5664255569619,0.000392739041657215,0.0224007669615406
"PITA_18544",-1.20092983607204,6.89204791942338,12.3459961532376,0.000441933266753818,0.0245079793923242
"PITA_23009",-1.73861568355356,3.88488810320048,12.3298782531072,0.000445765479532992,0.0246679028876034
"PITA_06138",-1.18790290750369,5.81848510727289,12.2946607353592,0.00045425593589731,0.0249783142426071
"PITA_18124",-1.39117778670506,5.66710412655217,12.1696401131166,0.000485736773942461,0.0265410246921628
"PITA_11259",-2.88020227315261,1.97654600168823,12.1446651394751,0.000492284799449431,0.026842422115053
"PITA_11051",-1.62132457316893,3.60552761529345,12.0938168620695,0.000505893063257709,0.0274692540339661
"PITA_07719",-1.57369780906094,4.84448733933962,11.9383609444652,0.00054989836405453,0.0296114007260751
"PITA_33194",-2.11827448473402,4.07309898542954,11.9336856043545,0.00055128008086781,0.0296244702960555
"PITA_19462",-2.44799513403071,3.39225709172692,11.9268343164219,0.000553311196038949,0.0296723111294372
"PITA_27964",-1.56674087527169,2.96969741003451,11.8763239332941,0.000568520421230142,0.0303005074503581
"PITA_18140",-2.23573235436727,1.59094907312388,11.7464949659582,0.000609579257244287,0.0319648123017473
"PITA_18117",-1.29615092741794,5.94911992702431,11.7219269191873,0.000617679638779386,0.0322834391470972
"PITA_09179",-1.70538972736044,3.6652623110406,11.5838551424359,0.000665268788576973,0.0343313014327351
"PITA_22468",-2.28457177380742,0.861871515913449,11.5410765237215,0.000680752103041341,0.0350607553425787
"PITA_21213",-1.87750999463496,3.09670887418116,11.4463563980033,0.000716343238675409,0.0365321005778602
"PITA_47340",-2.49139375897348,2.42228317936747,11.3865058609879,0.000739795559802636,0.0372894238660984
"PITA_43063",-2.67552828159876,3.49653554059425,11.3094755902701,0.000771125482738954,0.0381296628907937
"PITA_43448",-2.33106367598989,2.20231618899471,11.3033023175696,0.000773693586740481,0.0381840540750155
"PITA_10873",-1.264253785487,5.47420758696884,11.2995253392622,0.000775269083133179,0.0381893439075963
"PITA_40015",-2.3364480047068,3.44366725608383,11.2096585276291,0.000813726917873021,0.039818454919853
"PITA_07225",-0.9485796898115,7.32403684901752,11.193501433177,0.000820843032261886,0.0399052456562606
"PITA_05353",-1.49699952314435,3.36515252416895,11.1406736950319,0.000844552131661909,0.0409049467269918
"PITA_38791",-1.27321858117215,4.65446743298208,11.1121287666907,0.000857649944294154,0.0411261344193701
"PITA_46810",-2.24756469742332,1.27649428493915,11.1100618316536,0.000858606289735013,0.0411261344193701
"PITA_10478",-1.25456731570043,4.43619395029942,11.0976968558508,0.000864349967135823,0.0413251439250655
"PITA_38207",-2.75996795647729,0.6465072326484,11.0481946336434,0.00088773601943763,0.0421334418422506
"PITA_25199",-1.33926818962436,5.08462275351281,11.0372820122897,0.000892976863669873,0.0423049822353183
"PITA_45104",-2.42521700359903,1.85351225790383,11.0025636162205,0.000909859535767221,0.0428957649298534
"PITA_31051",-2.20826896428808,1.19485799692484,10.9816603388183,0.000920179530488751,0.0432002696904006
"PITA_00012",-1.87641123611317,2.33555663178972,10.9137058979167,0.000954553749995075,0.0445726902758023
"PITA_43227",-1.2085115466146,4.95983895649979,10.8577601125436,0.000983826183838097,0.0454113339958647
"PITA_31306",-1.570689242177,3.14713359793835,10.775810035748,0.00102835201890633,0.0469235222100608
"PITA_30667",-2.00991758350427,2.98519239738653,10.7452853030733,0.00104545322014027,0.0473830435710329
"PITA_05631",-1.17845152572171,5.02199613478344,10.7379937045175,0.00104958065701195,0.0474757274925632
"PITA_33787",-1.70613465366304,3.19447833383561,10.7303909136116,0.00105390179863018,0.0475884234037715
"PITA_37198",-0.925537970258332,7.77186694117395,10.6521858771397,0.00109940894039457,0.0489632313882234
